Car,Date,Stick,Sonic,Gape
50H-06422,1210,0.6568986568986568,0.588095238095238,0.06880341880341873
50H-06422,1207,0.5145299145299145,0.47619047619047616,0.038339438339438314
51C-50477,1212,0.24517704517704508,0.23111111111111104,0.014065934065934038
51C-50477,1209,0.5179487179487179,0.49555555555555564,0.022393162393162247
51C-50477,1129,0.29548229548229554,0.3866666666666666,-0.09118437118437106
51C-50477,1205,0.599023199023199,0.568888888888889,0.03013431013431006
51C-50477,1208,0.5174603174603174,0.43333333333333335,0.08412698412698405
51C-546.66,1130,0.5023199023199023,0.4683333333333334,0.03398656898656893
51C-546.66,1207,0.5902319902319902,0.5566666666666666,0.033565323565323574
50H-06453,1214,0.702075702075702,0.6642857142857144,0.037789987789987656
50H-06453,1210,0.485958485958486,0.44761904761904775,0.03833943833943826
50H-06453,1207,0.45641025641025645,0.4547619047619048,0.0016483516483516425
51C40916,1130,0.6317460317460317,0.6016666666666666,0.030079365079365095
51C40916,1207,0.6061050061050062,0.5833333333333334,0.022771672771672802
51D-62952,1212,0.7692307692307693,0.7066666666666666,0.06256410256410266
51D-62952,1130,0.7589743589743589,0.7044444444444444,0.054529914529914514
51D-62952,1203,0.6368742368742368,0.5777777777777777,0.059096459096459164
51D-62952,1128,0.6727716727716728,0.5933333333333333,0.07943833943833956
